id,homeAvgRating,homePosition,homePoint,homeForm,awayAvgRating,awayPosition,awayPoint,awayForm
10385418,7.14,2,35,2.4,6.86,16,14,0.8
10385405,6.95,6,25,1.8,6.84,13,17,1.8
10385408,6.75,18,13,0.8,6.90,5,29,2.0
10385413,6.98,3,33,3.0,6.75,15,15,1.2
10385407,6.85,10,22,1.4,6.74,20,12,0.2
10385409,6.91,8,24,1.8,7.02,1,40,2.6
10385414,6.95,5,30,1.4,6.78,12,18,1.8
10385410,6.72,14,16,0.6,6.79,11,19,1.2
10385412,6.71,19,13,1.4,6.89,9,24,0.8
10385418,7.14,2,35,2.4,6.86,16,14,0.8
10385408,6.75,18,13,0.8,6.90,5,29,2.0
10385413,6.98,3,33,3.0,6.75,15,15,1.2
10385407,6.85,10,22,1.4,6.74,20,12,0.2
10385414,6.95,5,30,1.4,6.78,12,18,1.8
10385428,6.82,10,23,1.8,6.95,6,28,2.4
10385412,6.71,19,13,1.4,6.89,9,24,0.8
10385416,7.01,1,43,3.0,6.98,3,34,2.6
10385415,6.91,4,32,2.4,6.70,15,16,0.6
10385428,6.82,10,23,1.8,6.95,6,28,2.4
10385421,6.85,16,15,0.4,6.88,10,24,1.8
10385419,6.83,13,17,1.2,6.85,8,25,1.4
10385416,7.01,1,43,3.0,6.98,3,34,2.6
10385420,6.80,12,21,1.8,6.75,19,13,0.8
10385415,6.91,4,32,2.4,6.70,15,16,0.6
10385421,6.85,16,15,0.4,6.88,10,24,1.8
10385419,6.83,13,17,1.2,6.85,8,25,1.4
10385411,6.73,20,12,0.0,6.71,18,14,1.0
10385424,6.81,11,22,1.8,6.93,5,30,1.4
10385417,6.76,14,16,1.4,6.83,17,14,0.0
10385420,6.80,12,21,1.8,6.75,19,13,0.8
10385429,6.89,10,25,0.8,7.13,2,36,2.0
10385411,6.73,20,12,0.0,6.71,18,14,1.0
10385424,6.81,11,22,1.8,6.93,5,30,1.4
10385417,6.76,14,16,1.4,6.83,17,14,0.0
10385429,6.89,10,25,0.8,7.13,2,36,2.0
10913240,6.86,7,28,1.8,6.88,10,25,0.8
10385423,6.80,11,22,2.0,6.76,14,17,1.0
10913240,6.86,7,28,1.8,6.88,10,25,0.8
10385426,6.92,4,35,2.4,7.12,2,39,2.0
10385423,6.80,11,22,2.0,6.76,14,17,1.0
10385439,6.83,9,26,2.2,6.70,17,16,0.6
10385422,6.83,18,15,0.2,6.72,20,12,0.0
10385425,6.72,15,17,1.6,6.83,13,17,1.2
10385436,6.89,8,27,1.8,6.94,7,28,2.4
10385426,6.92,4,35,2.4,7.12,2,39,2.0
10385438,6.76,19,14,0.8,6.82,17,15,0.2
10385433,6.95,5,33,1.4,7.01,1,44,2.6
10385439,6.83,9,26,2.2,6.70,17,16,0.6
10385435,6.87,10,25,0.8,6.79,12,22,1.2
10385422,6.83,18,15,0.2,6.72,20,12,0.0
10385427,6.98,4,35,2.2,6.86,6,31,2.4
10385425,6.72,15,17,1.6,6.83,13,17,1.2
10385436,6.89,8,27,1.8,6.94,7,28,2.4
10385426,6.92,4,35,2.4,7.12,2,39,2.0
10385438,6.76,19,14,0.8,6.82,17,15,0.2
10385433,6.95,5,33,1.4,7.01,1,44,2.6
10385435,6.87,10,25,0.8,6.79,12,22,1.2
10385427,6.98,4,35,2.2,6.86,6,31,2.4
10979293,6.78,12,22,0.6,6.92,4,38,3.0
10979293,6.78,12,22,0.6,6.92,4,38,3.0
10913242,7.10,2,39,1.4,6.94,5,33,1.4
10385443,6.92,9,28,1.8,6.88,10,28,1.4
10913242,7.10,2,39,1.4,6.94,5,33,1.4
10385431,6.69,17,16,0.6,6.74,13,20,2.0
10385444,6.83,18,15,0.2,6.83,19,15,0.2
10385434,6.81,14,17,0.6,6.91,7,30,1.8
10385443,6.92,9,28,1.8,6.88,10,28,1.4
10385430,6.78,12,23,0.8,6.98,4,38,2.2
10385449,6.73,20,15,0.6,6.81,11,25,2.0
10652685,7.02,1,47,2.6,6.92,4,39,2.6
10385431,6.69,17,16,0.6,6.74,13,20,2.0
10385432,6.75,16,17,0.4,6.83,9,29,2.6
10385444,6.83,18,15,0.2,6.83,19,15,0.2
10385434,6.81,14,17,0.6,6.91,7,30,1.8
10385443,6.92,9,28,1.8,6.88,10,28,1.4
10385445,7.09,2,42,2.0,6.78,17,17,1.4
10385430,6.78,12,23,0.8,6.98,4,38,2.2
10385449,6.73,20,15,0.6,6.81,11,25,2.0
10652685,7.02,1,47,2.6,6.92,4,39,2.6
10385432,6.75,16,17,0.4,6.83,9,29,2.6
10385437,6.86,7,31,2.4,6.91,5,33,0.8
10385445,7.09,2,42,2.0,6.78,17,17,1.4
10385437,6.86,7,31,2.4,6.91,5,33,0.8
10385450,6.82,19,15,0.2,7.02,1,50,2.6
10385441,6.89,10,29,1.0,6.85,7,31,1.8
10385448,6.82,11,28,2.0,6.81,14,18,0.2
10385440,6.90,7,31,2.0,6.70,19,17,0.2
10385446,6.84,8,30,2.2,6.73,20,15,0.6
10385450,6.82,19,15,0.2,7.02,1,50,2.6
10385441,6.89,10,29,1.0,6.85,7,31,1.8
10385454,6.77,18,17,1.4,6.91,10,29,1.4
10688772,6.91,4,39,2.0,6.79,12,24,1.0
10385458,6.99,4,39,1.8,6.84,17,18,0.8
10385448,6.82,11,28,2.0,6.81,14,18,0.2
10385440,6.90,7,31,2.0,6.70,19,17,0.2
10385446,6.84,8,30,2.2,6.73,20,15,0.6
10385450,6.82,19,15,0.2,7.02,1,50,2.6
10385459,6.76,14,21,1.6,6.76,17,18,0.6
10385454,6.77,18,17,1.4,6.91,10,29,1.4
10688772,6.91,4,39,2.0,6.79,12,24,1.0
10385458,6.99,4,39,1.8,6.84,17,18,0.8
10385442,6.91,5,36,1.2,7.09,2,45,2.0
10385459,6.76,14,21,1.6,6.76,17,18,0.6
10385442,6.91,5,36,1.2,7.09,2,45,2.0
11007089,6.91,3,42,2.0,6.75,17,18,0.6
11007089,6.91,3,42,2.0,6.75,17,18,0.6
10385467,6.84,17,19,1.0,6.89,9,30,1.0
10385460,6.70,19,17,0.2,6.98,4,40,1.4
10385451,7.01,1,50,2.0,6.85,7,33,2.6
10385468,6.78,12,24,0.4,6.90,6,34,2.0
10385467,6.84,17,19,1.0,6.89,9,30,1.0
10385461,6.86,8,32,1.4,6.77,13,24,2.2
10385457,6.73,20,15,0.6,6.79,16,20,1.4
10385466,6.82,14,21,0.8,6.91,5,39,1.8
10385452,7.08,3,45,1.8,6.80,11,28,2.0
10385460,6.70,19,17,0.2,6.98,4,40,1.4
10385451,7.01,1,50,2.0,6.85,7,33,2.6
10385468,6.78,12,24,0.4,6.90,6,34,2.0
10385467,6.84,17,19,1.0,6.89,9,30,1.0
10385461,6.86,8,32,1.4,6.77,13,24,2.2
10385464,6.75,17,19,0.6,6.90,3,43,1.6
10385457,6.73,20,15,0.6,6.79,16,20,1.4
10385466,6.82,14,21,0.8,6.91,5,39,1.8
10385452,7.08,3,45,1.8,6.80,11,28,2.0
10385456,6.90,10,29,0.8,6.83,18,18,0.8
10385464,6.75,17,19,0.6,6.90,3,43,1.6
10385456,6.90,10,29,0.8,6.83,18,18,0.8
10913239,7.01,1,51,1.6,7.08,2,48,1.8
10913239,7.01,1,51,1.6,7.08,2,48,1.8
10385462,6.79,11,28,1.4,6.98,2,51,1.4
10385462,6.79,11,28,1.4,6.98,2,51,1.4
10385479,6.78,15,23,2.0,6.71,19,18,0.4
