id,previousHomeWin,previousAwayWin,previousDraw,previousManagerHomeWin,previousManagerAwayWin,previousManagerDraw
10385485,9,7,4,1,0,0
10385490,11,1,2,2,0,0
10385481,9,5,3,2,1,0
10385495,10,5,5,2,0,0
10385507,4,5,2,0,1,1
10652686,8,5,7,3,1,0
10517280,14,3,3,12,1,1
10385496,5,10,5,1,0,0
10385492,7,10,3,0,0,0
10385487,6,3,6,0,0,0
11014934,9,5,3,2,1,0
10385507,4,5,2,0,1,1
10652686,8,5,7,3,1,0
11014934,9,5,3,2,1,0
10385494,2,14,1,1,1,0
10385494,2,14,1,1,1,0
10385516,3,2,2,3,1,0
10385513,4,10,6,5,3,1
10385515,3,11,6,0,0,1
10385499,3,14,3,1,2,1
10385504,5,6,1,2,1,0
10385517,9,5,6,1,1,1
10385494,2,14,1,1,1,0
10385516,3,2,2,3,1,0
10385513,4,10,6,5,3,1
10385512,2,12,6,0,2,1
10385515,3,11,6,0,0,1
10385499,3,14,3,1,2,1
10385505,6,4,10,1,0,0
10652679,9,2,9,0,0,1
10385504,5,6,1,2,1,0
10385517,9,5,6,1,1,1
10385512,2,12,6,0,2,1
10385505,6,4,10,1,0,0
10652679,9,2,9,0,0,1
11055513,2,5,3,0,1,0
11055512,5,6,8,1,0,1
11055513,2,5,3,0,1,0
11055512,5,6,8,1,0,1
10385521,4,9,4,0,2,0
10385536,3,4,1,1,0,1
10385529,0,4,2,0,4,2
10385526,9,6,5,2,1,4
10385540,9,8,2,2,1,0
10385524,12,4,4,4,1,3
10385521,4,9,4,0,2,0
10385544,4,11,5,0,0,1
10385522,11,3,6,1,0,0
10385536,3,4,1,1,0,1
10385529,0,4,2,0,4,2
10385526,9,6,5,2,1,4
10385540,9,8,2,2,1,0
10385524,12,4,4,4,1,3
10385533,6,10,0,2,1,0
10385544,4,11,5,0,0,1
10385523,16,1,3,11,1,3
10385522,11,3,6,1,0,0
10385533,6,10,0,2,1,0
10385523,16,1,3,11,1,3
10385561,7,8,5,11,12,6
10385553,14,3,3,1,0,0
10385535,14,5,1,0,1,0
10385541,4,1,3,1,1,1
10385534,9,6,4,1,1,1
10385545,8,7,5,1,6,1
10385561,7,8,5,11,12,6
10385560,5,8,3,1,0,1
10385555,10,6,4,1,0,0
10385553,14,3,3,1,0,0
10385535,14,5,1,0,1,0
10385541,4,1,3,1,1,1
10385534,9,6,4,1,1,1
10385545,8,7,5,1,6,1
10385558,5,11,4,3,1,1
10385560,5,8,3,1,0,1
10385555,10,6,4,1,0,0
10385542,2,10,8,0,0,1
10385558,5,11,4,3,1,1
10385555,10,6,4,1,0,0
11077466,7,9,4,0,1,0
11077408,8,5,4,0,3,0
10385542,2,10,8,0,0,1
11077461,6,8,6,1,0,0
11077468,4,8,8,0,0,1
11077466,7,9,4,0,1,0
11077408,8,5,4,0,3,0
11077474,4,1,1,2,1,0
11077461,6,8,6,1,0,0
11077468,4,8,8,0,0,1
11077467,5,10,5,2,2,5
11077474,4,1,1,2,1,0
11077467,5,10,5,2,2,5
10385578,11,2,7,2,0,0
10385549,7,3,8,1,1,0
10385570,4,5,5,0,1,0
10385548,1,6,1,0,4,1
10385571,4,12,4,2,1,1
10385578,11,2,7,2,0,0
10385550,3,13,4,1,3,0
10385546,9,5,4,3,1,1
10385580,3,14,3,0,1,0
10385562,10,3,1,1,0,0
10385549,7,3,8,1,1,0
10385570,4,5,5,0,1,0
10385548,1,6,1,0,4,1
10385571,4,12,4,2,1,1
10385550,3,13,4,1,3,0
10385546,9,5,4,3,1,1
10385572,11,4,5,5,4,2
10385580,3,14,3,0,1,0
10385562,10,3,1,1,0,0
10385546,9,5,4,3,1,1
10385572,11,4,5,5,4,2
10385566,4,8,8,4,1,0
10385579,3,13,4,1,5,2
10385566,4,8,8,4,1,0
10385575,9,2,2,0,1,0
10385589,7,4,3,1,0,0
10385565,9,2,5,0,2,0
10385583,11,6,3,2,4,1
10385586,14,5,1,7,0,0
10385581,9,8,3,0,1,0
10385579,3,13,4,1,5,2
10385575,9,2,2,0,1,0
10385589,7,4,3,1,0,0
10385565,9,2,5,0,2,0
10385583,11,6,3,2,4,1
10385586,14,5,1,7,0,0
10385587,1,10,2,0,5,0
10385581,9,8,3,0,1,0
10385579,3,13,4,1,5,2
10385584,4,12,4,0,4,0
10385587,1,10,2,0,5,0
10385584,4,12,4,0,4,0
10385592,8,7,5,3,1,1
10385607,8,6,6,0,0,1
10385596,5,5,4,0,2,0
10385601,4,1,6,0,0,1
10385617,8,5,7,3,1,1
10385594,3,9,8,4,4,2
10385592,8,7,5,3,1,1
10385593,7,5,4,1,0,0
10385597,7,2,3,3,1,0
10385610,7,11,2,1,0,0
