id,homeTeamId,awayTeamId,homeScorePeriod1,homeScoreCurrent,awayScorePeriod1,awayScoreCurrent
10385400,44,45,3,3,1,1
10385382,14,7,0,1,0,0
10385387,33,34,1,4,2,3
10385395,37,31,0,0,1,2
10385381,39,38,0,1,0,0
10385393,3,42,0,0,0,2
10385389,30,40,1,1,1,2
10385399,43,35,0,1,1,2
10385389,30,40,1,1,1,2
10385399,43,35,0,1,1,2
10385397,50,33,1,2,0,2
10385397,50,33,1,2,0,2
10385394,7,43,0,0,1,3
10385391,48,3,1,1,1,2
10385406,31,39,0,0,3,3
10385404,45,30,0,1,2,3
10385398,40,44,0,1,2,3
10385396,42,37,0,3,1,1
10385397,50,33,1,2,0,2
10385394,7,43,0,0,1,3
10385391,48,3,1,1,1,2
10385406,31,39,0,0,3,3
10385404,45,30,0,1,2,3
10385398,40,44,0,1,2,3
10385396,42,37,0,3,1,1
10385392,38,60,2,2,0,0
10385401,35,14,2,3,0,0
10385392,38,60,2,2,0,0
10385401,35,14,2,3,0,0
10385403,34,17,0,1,1,3
10385403,34,17,0,1,1,3
10385402,37,50,0,0,2,2
10385405,44,31,2,2,1,1
10385408,3,35,0,0,0,1
10385402,37,50,0,0,2,2
10385405,44,31,2,2,1,1
10385408,3,35,0,0,0,1
10385410,60,7,0,0,2,2
10385407,43,45,1,2,0,1
10385418,17,48,1,1,0,1
10385413,39,34,0,0,0,0
10385409,30,42,0,2,2,4
10385408,3,35,0,0,0,1
10385410,60,7,0,0,2,2
10385407,43,45,1,2,0,1
10385418,17,48,1,1,0,1
10385413,39,34,0,0,0,0
10385409,30,42,0,2,2,4
10385414,33,40,0,0,0,2
10385412,14,38,0,1,1,1
10385414,33,40,0,0,0,2
10385412,14,38,0,1,1,1
10385428,50,44,2,3,0,1
10385428,50,44,2,3,0,1
10385416,42,39,0,0,0,0
10385421,48,30,0,1,1,4
10385419,31,43,0,0,1,1
10385415,35,60,1,3,0,0
10385416,42,39,0,0,0,0
10385421,48,30,0,1,1,4
10385419,31,43,0,0,1,1
10385415,35,60,1,3,0,0
10385411,45,14,0,0,1,1
10385417,34,37,1,2,1,2
10385420,40,3,0,1,1,1
10385424,7,33,0,0,0,4
10385411,45,14,0,0,1,1
10385417,34,37,1,2,1,2
10385420,40,3,0,1,1,1
10385424,7,33,0,0,0,4
10385429,38,17,0,0,0,1
10385429,38,17,0,0,0,1
10913240,43,38,1,2,0,1
10913240,43,38,1,2,0,1
10385423,40,34,1,2,0,1
10385426,35,17,0,2,0,1
10385423,40,34,1,2,0,1
10385426,35,17,0,2,0,1
10385436,30,44,0,3,0,0
10385422,48,45,1,1,0,2
10385425,14,31,0,2,0,0
10385438,3,37,0,1,0,0
10385439,50,60,1,2,0,0
10385426,35,17,0,2,0,1
10385436,30,44,0,3,0,0
10385422,48,45,1,1,0,2
10385425,14,31,0,2,0,0
10385438,3,37,0,1,0,0
10385439,50,60,1,2,0,0
10385435,38,7,0,1,0,0
10385427,39,43,0,1,0,0
10385433,33,42,0,0,2,2
10385435,38,7,0,1,0,0
10385427,39,43,0,1,0,0
10385433,33,42,0,0,2,2
10979293,7,35,0,1,1,1
10979293,7,35,0,1,1,1
10913242,17,33,0,4,2,2
10913242,17,33,0,4,2,2
10385443,44,38,0,0,0,0
10385443,44,38,0,0,0,0
10385431,60,14,1,1,0,1
10385434,31,30,1,2,1,2
10385449,45,40,0,0,0,1
10385444,37,48,2,2,0,0
10385430,7,39,0,0,0,0
10385443,44,38,0,0,0,0
10385431,60,14,1,1,0,1
10385434,31,30,1,2,1,2
10385449,45,40,0,0,0,1
10385444,37,48,2,2,0,0
10385430,7,39,0,0,0,0
10385432,34,50,0,0,0,0
10385445,17,3,1,3,0,0
10652685,42,35,1,3,1,2
10385432,34,50,0,0,0,0
10385445,17,3,1,3,0,0
10652685,42,35,1,3,1,2
10385437,43,33,0,0,1,1
10385437,43,33,0,0,1,1
10385441,38,43,0,0,0,0
10385450,48,42,0,1,0,0
10385441,38,43,0,0,0,0
10385450,48,42,0,1,0,0
10385448,40,31,2,2,3,4
10385446,50,45,2,3,0,0
10385440,30,60,0,1,0,0
10688772,35,7,1,2,0,1
10385454,3,44,2,3,0,0
10385458,39,37,1,1,1,1
10385450,48,42,0,1,0,0
10385448,40,31,2,2,3,4
10385446,50,45,2,3,0,0
10385440,30,60,0,1,0,0
10688772,35,7,1,2,0,1
10385454,3,44,2,3,0,0
10385458,39,37,1,1,1,1
10385459,14,34,1,1,0,0
10385442,33,17,1,1,0,0
10385459,14,34,1,1,0,0
10385442,33,17,1,1,0,0
11007089,35,34,0,2,1,2
11007089,35,34,0,2,1,2
